COD_DANE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,FECHA1erFIS
91001,91,AMAZONAS,1,LETICIA,2020-03-31
91405,91,AMAZONAS,405,LA CHORRERA,2020-06-15
91407,91,AMAZONAS,407,LA PEDRERA,2020-07-17
91540,91,AMAZONAS,540,PUERTO NARIÑO,2020-04-15
91669,91,AMAZONAS,669,PUERTO SANTANDER,2020-06-24
91798,91,AMAZONAS,798,TARAPACÁ,2020-06-21
5001,5,ANTIOQUIA,1,MEDELLÍN,2020-02-29
5002,5,ANTIOQUIA,2,ABEJORRAL,2020-07-05
5004,5,ANTIOQUIA,4,ABRIAQUÍ,2020-07-06
5021,5,ANTIOQUIA,21,ALEJANDRÍA,2020-07-26
5030,5,ANTIOQUIA,30,AMAGÁ,2020-04-09
13030,13,BOLÍVAR,30,ALTOS DEL ROSARIO,2020-07-12
5031,5,ANTIOQUIA,31,AMALFI,2020-07-04
5034,5,ANTIOQUIA,34,ANDES,2020-04-04
5036,5,ANTIOQUIA,36,ANGELÓPOLIS,2020-07-27
5038,5,ANTIOQUIA,38,ANGOSTURA,2020-03-18
5040,5,ANTIOQUIA,40,ANORÍ,2020-07-06
5044,5,ANTIOQUIA,44,ANZÁ,2020-06-10
5045,5,ANTIOQUIA,45,APARTADÓ,2020-03-14
5051,5,ANTIOQUIA,51,ARBOLETES,2020-05-10
5059,5,ANTIOQUIA,59,ARMENIA,2020-07-01
13074,13,BOLÍVAR,74,BARRANCO DE LOBA,2020-03-12
5086,5,ANTIOQUIA,86,BELMIRA,2020-07-09
5091,5,ANTIOQUIA,91,BETANIA,2020-07-28
5093,5,ANTIOQUIA,93,BETULIA,2020-06-23
5101,5,ANTIOQUIA,101,CIUDAD BOLÍVAR,2020-06-20
5107,5,ANTIOQUIA,107,BRICEÑO,2020-05-19
5113,5,ANTIOQUIA,113,BURITICÁ,2020-04-01
5120,5,ANTIOQUIA,120,CÁCERES,2020-03-10
5125,5,ANTIOQUIA,125,CAICEDO,2020-06-24
5129,5,ANTIOQUIA,129,CALDAS,2020-03-20
5134,5,ANTIOQUIA,134,CAMPAMENTO,2020-07-02
5142,5,ANTIOQUIA,142,CARACOLÍ,2020-06-18
5145,5,ANTIOQUIA,145,CARAMANTA,2020-07-24
5147,5,ANTIOQUIA,147,CAREPA,2020-03-10
5148,5,ANTIOQUIA,148,EL CARMEN DE VIBORAL,2020-04-24
5150,5,ANTIOQUIA,150,CAROLINA,2020-07-14
5154,5,ANTIOQUIA,154,CAUCASIA,2020-05-09
5172,5,ANTIOQUIA,172,CHIGORODÓ,2020-05-27
5190,5,ANTIOQUIA,190,CISNEROS,2020-05-07
5197,5,ANTIOQUIA,197,COCORNÁ,2020-03-30
5209,5,ANTIOQUIA,209,CONCORDIA,2020-07-06
5234,5,ANTIOQUIA,234,DABEIBA,2020-06-02
5237,5,ANTIOQUIA,237,DONMATÍAS,2020-03-26
5240,5,ANTIOQUIA,240,EBÉJICO,2020-06-20
47245,47,MAGDALENA,245,EL BANCO,2020-04-08
5250,5,ANTIOQUIA,250,EL BAGRE,2020-05-08
5264,5,ANTIOQUIA,264,ENTRERRÍOS,2020-07-01
5266,5,ANTIOQUIA,266,ENVIGADO,2020-03-11
13268,13,BOLÍVAR,268,EL PEÑÓN,2020-07-13
5282,5,ANTIOQUIA,282,FREDONIA,2020-07-07
5306,5,ANTIOQUIA,306,GIRALDO,2020-05-28
5310,5,ANTIOQUIA,310,GÓMEZ PLATA,2020-07-06
5313,5,ANTIOQUIA,313,GRANADA,2020-04-06
5315,5,ANTIOQUIA,315,GUADALUPE,2020-07-22
5318,5,ANTIOQUIA,318,GUARNE,2020-03-13
66318,66,RISARALDA,318,GUÁTICA,2020-08-06
5321,5,ANTIOQUIA,321,GUATAPÉ,2020-03-10
5347,5,ANTIOQUIA,347,HELICONIA,2020-06-26
